"ID_eprime","Eprime.LevelName","GamblesList","BlockID","xs_X","xs_Z","xs_Y","xr_X","xr_Z","xr_Y","px","pz","py","PicRisky","PicSafe","BlockNum","ExpID","Choice","Cycle","Sample","SafeSide","Stimulus1.RT","selectdisplay"
81,"ExperimentSetup_1","204","24","29","0","-29","35","","-35","0.5","0","0.5","out.p124R.png","out.p124S.png","7","204","Risky","1","1","Right","1215","PickRiskyLeft"
81,"ExperimentSetup_1","131","11","36","-22","-36","45","-22","-45","0.33","0.33","0.33","out3.p211R.png","out3.p211S.png","5","131","Risky","1","2","Left","27125","PickRiskyRight"
81,"ExperimentSetup_1","115","25","51","20","-51","60","20","-60","0.1","0.8","0.1","out2.p325R.png","out2.p325S.png","4","115","Risky","1","3","Left","17667","PickRiskyRight"
81,"ExperimentSetup_1","34","4","26","0","-26","34","0","-34","0.1","0.8","0.1","out1.p304R.png","out1.p304S.png","2","34","Safe","1","4","Right","14318","PickSafeRight"
81,"ExperimentSetup_1","6","6","44","0","-44","53","0","-53","0.33","0.33","0.33","out1.p206R.png","out1.p206S.png","1","6","Risky","1","5","Left","22653","PickRiskyRight"
81,"ExperimentSetup_1","142","22","51","-26","-51","69","-26","-69","0.33","0.33","0.33","out3.p222R.png","out3.p222S.png","5","142","Safe","1","6","Right","52220","PickSafeRight"
81,"ExperimentSetup_1","180","30","47","-19","-47","61","-19","-61","0.1","0.8","0.1","out3.p330R.png","out3.p330S.png","6","180","Risky","1","7","Left","11687","PickRiskyRight"
81,"ExperimentSetup_1","35","5","30","0","-30","39","0","-39","0.1","0.8","0.1","out1.p305R.png","out1.p305S.png","2","35","Safe","1","8","Left","15339","PickSafeLeft"
81,"ExperimentSetup_1","50","20","53","0","-53","65","0","-65","0.1","0.8","0.1","out1.p320R.png","out1.p320S.png","2","50","Safe","1","9","Right","17182","PickSafeRight"
81,"ExperimentSetup_1","103","13","24","10","-24","29","10","-29","0.1","0.8","0.1","out2.p313R.png","out2.p313S.png","4","103","Risky","1","10","Left","12370","PickRiskyRight"
81,"ExperimentSetup_1","165","15","26","-16","-26","30","-16","-30","0.1","0.8","0.1","out3.p315R.png","out3.p315S.png","6","165","Risky","1","11","Left","17905","PickRiskyRight"
81,"ExperimentSetup_1","201","21","8","0","-8","11","","-11","0.5","0","0.5","out.p121R.png","out.p121S.png","7","201","Risky","1","12","Right","5295","PickRiskyLeft"
81,"ExperimentSetup_1","44","14","63","0","-63","76","0","-76","0.1","0.8","0.1","out1.p314R.png","out1.p314S.png","2","44","Risky","1","13","Right","16139","PickRiskyLeft"
81,"ExperimentSetup_1","102","12","38","15","-38","43","15","-43","0.1","0.8","0.1","out2.p312R.png","out2.p312S.png","4","102","Risky","1","14","Left","9458","PickRiskyRight"
81,"ExperimentSetup_1","61","1","29","12","-29","32","12","-32","0.33","0.33","0.33","out2.p201R.png","out2.p201S.png","3","61","Risky","1","15","Left","19922","PickRiskyRight"
81,"ExperimentSetup_1","203","23","64","0","-64","73","","-73","0.5","0","0.5","out.p123R.png","out.p123S.png","7","203","Safe","1","16","Right","9761","PickSafeRight"
81,"ExperimentSetup_1","37","7","39","0","-39","50","0","-50","0.1","0.8","0.1","out1.p307R.png","out1.p307S.png","2","37","Safe","1","17","Left","67240","PickSafeLeft"
81,"ExperimentSetup_1","162","12","38","-23","-38","43","-23","-43","0.1","0.8","0.1","out3.p312R.png","out3.p312S.png","6","162","Safe","1","18","Left","12646","PickSafeLeft"
81,"ExperimentSetup_1","185","5","30","0","-30","39","","-39","0.5","0","0.5","out.p105R.png","out.p105S.png","7","185","Risky","1","19","Right","7731","PickRiskyLeft"
81,"ExperimentSetup_1","125","5","30","-15","-30","39","-15","-39","0.33","0.33","0.33","out3.p205R.png","out3.p205S.png","5","125","Safe","1","20","Right","41616","PickSafeRight"
81,"ExperimentSetup_1","187","7","39","0","-39","50","","-50","0.5","0","0.5","out.p107R.png","out.p107S.png","7","187","Risky","1","21","Right","6130","PickRiskyLeft"
81,"ExperimentSetup_1","104","14","63","25","-63","76","25","-76","0.1","0.8","0.1","out2.p314R.png","out2.p314S.png","4","104","Risky","1","22","Right","11218","PickRiskyLeft"
81,"ExperimentSetup_1","72","12","38","15","-38","43","15","-43","0.33","0.33","0.33","out2.p212R.png","out2.p212S.png","3","72","Risky","1","23","Right","14449","PickRiskyLeft"
81,"ExperimentSetup_1","97","7","39","20","-39","50","20","-50","0.1","0.8","0.1","out2.p307R.png","out2.p307S.png","4","97","Risky","1","24","Right","12306","PickRiskyLeft"
81,"ExperimentSetup_1","200","20","53","0","-53","65","","-65","0.5","0","0.5","out.p120R.png","out.p120S.png","7","200","Risky","1","25","Right","3314","PickRiskyLeft"
81,"ExperimentSetup_1","206","26","5","0","-5","7","","-7","0.5","0","0.5","out.p126R.png","out.p126S.png","7","206","Risky","1","26","Left","16192","PickRiskyRight"
81,"ExperimentSetup_1","75","15","26","13","-26","30","13","-30","0.33","0.33","0.33","out2.p215R.png","out2.p215S.png","3","75","Risky","1","27","Right","30486","PickRiskyLeft"
81,"ExperimentSetup_1","62","2","44","18","-44","55","18","-55","0.33","0.33","0.33","out2.p202R.png","out2.p202S.png","3","62","Risky","1","28","Left","6465","PickRiskyRight"
81,"ExperimentSetup_1","117","27","54","22","-54","71","22","-71","0.1","0.8","0.1","out2.p327R.png","out2.p327S.png","4","117","Risky","1","29","Left","3647","PickRiskyRight"
81,"ExperimentSetup_1","52","22","51","0","-51","69","0","-69","0.1","0.8","0.1","out1.p322R.png","out1.p322S.png","2","52","Safe","1","30","Left","12212","PickSafeLeft"
