source,rating
America,8.921052631578947
Antarctic,38.09933774834437
Australia,-25.805194805194805
Boston,-14.824324324324325
California,-21.959183673469386
Canada,-55.03921568627451
Chevy,-23.91275167785235
Chicago,7.302013422818792
China,21.2972972972973
Colorado,-32.76
England,-24.779310344827586
Facebook,9.109677419354838
Florida,-9.33108108108108
HIV,75.18
Ibuprofen,-25.29605263157895
Iceland,-42.49655172413793
Japan,-44.40764331210191
LEGO,-42.33112582781457
Mexico,7.573333333333333
Olympics,-46.086666666666666
Pilates,-56.13907284768212
popsicle,-61.46052631578947
zeppelin,19.44736842105263
abortion,16.181208053691275
acid,63.790849673202615
addiction,73.97315436241611
aerobics,-30.66891891891892
ailment,25.517006802721088
air,-59.086666666666666
airport,-17.3
alcoholism,80.4635761589404
algae,-12.775510204081632
allergy,37.16778523489933
alley,4.826666666666667
altitude,19.694805194805195
aluminum,-34.07236842105263
ambulance,-47.285714285714285
ammo,51.88
ammunition,61.04794520547945
anarchist,44.05298013245033
anarchy,51.060810810810814
anemia,43.718120805369125
anime,-45.63265306122449
anorexia,74.74149659863946
antidote,-55.92
apocalypse,86.12244897959184
army,43.26797385620915
arsenic,74.5578231292517
art,-67.4055944055944
arthritis,33.326530612244895
artillery,66.6554054054054
asparagus,-75.62666666666667
assassin,88.12751677852349
assassination,94.54545454545455
asthma,46.52
athletics,-19.24025974025974
autism,-9.51006711409396
bacteria,36.10526315789474
balloon,-49.50675675675676
bamboo,-57.46052631578947
bar,-10.04109589041096
barbecue,-17.895424836601308
barrel,-37.21621621621622
basement,-39.086666666666666
bat,-1.0333333333333334
bathing,-45.5
bathtub,-32.13422818791946
baton,-4.032679738562091
battle,78.42857142857143
battlefield,88.14189189189189
bazooka,64.67567567567568
bean,-67.64429530201342
belt,-40.873333333333335
biker,5.241610738255034
bingo,-56.51748251748252
blackout,41.70748299319728
blade,57.79333333333334
bleach,37.10344827586207
bleeding,56.346666666666664
blindness,44.61333333333334
blood,5.682119205298013
board,-42.18666666666667
boating,2.302013422818792
boiler,-4.7973856209150325
boiling,40.83552631578947
bombshell,62.013422818791945
bonfire,29.054054054054053
bong,10.19078947368421
booze,40.208333333333336
brawl,56.65771812080537
breeze,-67.99328859060402
bribery,57.358108108108105
bridge,-27.888157894736842
bruise,-2.8859060402684564
bubble,-59.06535947712418
bucket,-63.58783783783784
bull,41.05960264900662
bulldozer,19.086666666666666
bullet,72.67785234899328
bunker,-37.1744966442953
burglar,71.21476510067114
burner,29.256756756756758
bus,-20.046979865771814
butterfly,-82.12987012987013
cable,-22.87837837837838
cafe,-56.86363636363637
caffeine,-15.348993288590604
calorie,-30.0
campfire,9.173076923076923
camping,-24.318181818181817
cannabis,17.28476821192053
cannibal,78.84931506849315
cannon,60.858108108108105
canoe,-7.704697986577181
canteen,-54.549019607843135
caravan,-42.10666666666667
carbon,5.671052631578948
carnival,-30.405405405405407
chaos,54.967320261437905
charcoal,-20.36241610738255
