"ID_eprime","Eprime.LevelName","Sample","starterMagA","starterDelA","starterMagB","starterDelB","starterChoice","SSout","SSdel","SSdelNum","LLout","LLdel","LLdelNum","Choice"
133,"StarterList_1","1","27.10","2 Wochen","27.10","6 Wochen","OptA",NA,NA,NA,NA,NA,NA,NA
133,"StarterList_2","2","0.16","Heute","34.04","6 Wochen","OptB",NA,NA,NA,NA,NA,NA,NA
133,"DDList_43","1",NA,NA,NA,NA,NA,"14.59","2 Wochen","2","15.32","4 Wochen","4","SS"
133,"DDList_51","2",NA,NA,NA,NA,NA,"31.21","2 Wochen","2","32.77","6 Wochen","6","SS"
133,"DDList_35","3",NA,NA,NA,NA,NA,"25.03","2 Wochen","2","26.28","4 Wochen","4","SS"
133,"DDList_27","4",NA,NA,NA,NA,NA,"7.96","Heute","0","8.36","4 Wochen","4","SS"
133,"DDList_40","5",NA,NA,NA,NA,NA,"13.33","2 Wochen","2","19.99","4 Wochen","4","LL"
133,"DDList_3","6",NA,NA,NA,NA,NA,"35.22","Heute","0","36.98","2 Wochen","2","SS"
133,"DDList_18","7",NA,NA,NA,NA,NA,"9.75","Heute","0","10.04","4 Wochen","4","SS"
133,"DDList_74","8",NA,NA,NA,NA,NA,"19.73","4 Wochen","4","20.32","6 Wochen","6","SS"
133,"DDList_70","9",NA,NA,NA,NA,NA,"25.11","4 Wochen","4","31.39","6 Wochen","6","LL"
133,"DDList_68","10",NA,NA,NA,NA,NA,"21.03","4 Wochen","4","23.14","6 Wochen","6","SS"
133,"DDList_6","11",NA,NA,NA,NA,NA,"22.90","Heute","0","28.62","2 Wochen","2","LL"
133,"DDList_41","12",NA,NA,NA,NA,NA,"29.42","2 Wochen","2","29.72","4 Wochen","4","SS"
133,"DDList_63","13",NA,NA,NA,NA,NA,"20.39","2 Wochen","2","27.52","6 Wochen","6","LL"
133,"DDList_26","14",NA,NA,NA,NA,NA,"9.36","Heute","0","9.64","4 Wochen","4","SS"
133,"DDList_10","15",NA,NA,NA,NA,NA,"27.37","Heute","0","28.19","2 Wochen","2","SS"
133,"DDList_25","16",NA,NA,NA,NA,NA,"14.28","Heute","0","14.43","4 Wochen","4","SS"
133,"DDList_53","17",NA,NA,NA,NA,NA,"14.90","2 Wochen","2","17.14","6 Wochen","6","LL"
133,"DDList_28","18",NA,NA,NA,NA,NA,"27.74","Heute","0","30.51","4 Wochen","4","LL"
133,"DDList_79","19",NA,NA,NA,NA,NA,"16.42","4 Wochen","4","22.16","6 Wochen","6","LL"
133,"DDList_29","20",NA,NA,NA,NA,NA,"20.49","Heute","0","23.56","4 Wochen","4","LL"
133,"DDList_76","21",NA,NA,NA,NA,NA,"7.59","4 Wochen","4","8.35","6 Wochen","6","SS"
133,"DDList_62","22",NA,NA,NA,NA,NA,"30.39","2 Wochen","2","37.99","6 Wochen","6","LL"
133,"DDList_55","23",NA,NA,NA,NA,NA,"26.11","2 Wochen","2","35.25","6 Wochen","6","LL"
133,"DDList_69","24",NA,NA,NA,NA,NA,"11.09","4 Wochen","4","12.75","6 Wochen","6","LL"
133,"DDList_48","25",NA,NA,NA,NA,NA,"22.42","2 Wochen","2","33.63","4 Wochen","4","LL"
133,"DDList_80","26",NA,NA,NA,NA,NA,"16.81","4 Wochen","4","25.22","6 Wochen","6","LL"
133,"DDList_42","27",NA,NA,NA,NA,NA,"19.04","2 Wochen","2","19.62","4 Wochen","4","SS"
133,"DDList_45","28",NA,NA,NA,NA,NA,"13.69","2 Wochen","2","15.74","4 Wochen","4","LL"
133,"DDList_73","29",NA,NA,NA,NA,NA,"7.55","4 Wochen","4","7.62","6 Wochen","6","SS"
133,"DDList_24","30",NA,NA,NA,NA,NA,"9.18","Heute","0","13.77","4 Wochen","4","LL"
133,"DDList_61","31",NA,NA,NA,NA,NA,"10.87","2 Wochen","2","12.50","6 Wochen","6","SS"
133,"DDList_60","32",NA,NA,NA,NA,NA,"12.89","2 Wochen","2","14.18","6 Wochen","6","SS"
