"ID_eprime","Eprime.LevelName","Sample","starterMagA","starterDelA","starterMagB","starterDelB","starterChoice","SSout","SSdel","SSdelNum","LLout","LLdel","LLdelNum","Choice"
66,"StarterList_1","1","27.10","2 Wochen","27.10","6 Wochen","OptA",NA,NA,NA,NA,NA,NA,NA
66,"StarterList_2","2","0.16","Heute","34.04","6 Wochen","OptB",NA,NA,NA,NA,NA,NA,NA
66,"DDList_54","1",NA,NA,NA,NA,NA,"18.49","2 Wochen","2","23.11","6 Wochen","6","SS"
66,"DDList_62","2",NA,NA,NA,NA,NA,"30.39","2 Wochen","2","37.99","6 Wochen","6","LL"
66,"DDList_27","3",NA,NA,NA,NA,NA,"7.96","Heute","0","8.36","4 Wochen","4","SS"
66,"DDList_48","4",NA,NA,NA,NA,NA,"22.42","2 Wochen","2","33.63","4 Wochen","4","LL"
66,"DDList_28","5",NA,NA,NA,NA,NA,"27.74","Heute","0","30.51","4 Wochen","4","SS"
66,"DDList_53","6",NA,NA,NA,NA,NA,"14.90","2 Wochen","2","17.14","6 Wochen","6","LL"
66,"DDList_78","7",NA,NA,NA,NA,NA,"24","4 Wochen","4","30.00","6 Wochen","6","LL"
66,"DDList_80","8",NA,NA,NA,NA,NA,"16.81","4 Wochen","4","25.22","6 Wochen","6","LL"
66,"DDList_58","9",NA,NA,NA,NA,NA,"30.88","2 Wochen","2","31.81","6 Wochen","6","LL"
66,"DDList_39","10",NA,NA,NA,NA,NA,"23.17","2 Wochen","2","31.29","4 Wochen","4","LL"
66,"DDList_47","11",NA,NA,NA,NA,NA,"15.14","2 Wochen","2","20.44","4 Wochen","4","LL"
66,"DDList_64","12",NA,NA,NA,NA,NA,"5.56","2 Wochen","2","8.34","6 Wochen","6","LL"
66,"DDList_52","13",NA,NA,NA,NA,NA,"30.64","2 Wochen","2","33.70","6 Wochen","6","SS"
66,"DDList_30","14",NA,NA,NA,NA,NA,"9.88","Heute","0","12.35","4 Wochen","4","SS"
66,"DDList_37","15",NA,NA,NA,NA,NA,"14.49","2 Wochen","2","16.66","4 Wochen","4","LL"
66,"DDList_16","16",NA,NA,NA,NA,NA,"26.77","Heute","0","40.15","2 Wochen","2","SS"
66,"DDList_68","17",NA,NA,NA,NA,NA,"21.03","4 Wochen","4","23.14","6 Wochen","6","LL"
66,"DDList_26","18",NA,NA,NA,NA,NA,"9.36","Heute","0","9.64","4 Wochen","4","LL"
66,"DDList_33","19",NA,NA,NA,NA,NA,"31.17","2 Wochen","2","31.49","4 Wochen","4","LL"
