"ID_eprime","Eprime.LevelName","Sample","starterMagA","starterDelA","starterMagB","starterDelB","starterChoice","SSout","SSdel","SSdelNum","LLout","LLdel","LLdelNum","Choice"
192,"StarterList_1","1","27.10","2 Wochen","27.10","6 Wochen","OptA",NA,NA,NA,NA,NA,NA,NA
192,"StarterList_2","2","0.16","Heute","34.04","6 Wochen","OptB",NA,NA,NA,NA,NA,NA,NA
192,"DDList_41","1",NA,NA,NA,NA,NA,"29.42","2 Wochen","2","29.72","4 Wochen","4","SS"
192,"DDList_11","2",NA,NA,NA,NA,NA,"19.78","Heute","0","20.77","2 Wochen","2","SS"
192,"DDList_2","3",NA,NA,NA,NA,NA,"11.07","Heute","0","11.41","2 Wochen","2","SS"
192,"DDList_12","4",NA,NA,NA,NA,NA,"12.82","Heute","0","14.11","2 Wochen","2","SS"
192,"DDList_76","5",NA,NA,NA,NA,NA,"7.59","4 Wochen","4","8.35","6 Wochen","6","LL"
192,"DDList_60","6",NA,NA,NA,NA,NA,"12.89","2 Wochen","2","14.18","6 Wochen","6","SS"
192,"DDList_34","7",NA,NA,NA,NA,NA,"29.35","2 Wochen","2","30.23","4 Wochen","4","SS"
192,"DDList_36","8",NA,NA,NA,NA,NA,"12.35","2 Wochen","2","13.58","4 Wochen","4","SS"
192,"DDList_9","9",NA,NA,NA,NA,NA,"38.86","Heute","0","39.25","2 Wochen","2","SS"
192,"DDList_66","10",NA,NA,NA,NA,NA,"35.46","4 Wochen","4","36.53","6 Wochen","6","SS"
192,"DDList_14","11",NA,NA,NA,NA,NA,"13.62","Heute","0","17.03","2 Wochen","2","LL"
192,"DDList_69","12",NA,NA,NA,NA,NA,"11.09","4 Wochen","4","12.75","6 Wochen","6","LL"
192,"DDList_18","13",NA,NA,NA,NA,NA,"9.75","Heute","0","10.04","4 Wochen","4","SS"
192,"DDList_26","14",NA,NA,NA,NA,NA,"9.36","Heute","0","9.64","4 Wochen","4","SS"
192,"DDList_70","15",NA,NA,NA,NA,NA,"25.11","4 Wochen","4","31.39","6 Wochen","6","LL"
192,"DDList_79","16",NA,NA,NA,NA,NA,"16.42","4 Wochen","4","22.16","6 Wochen","6","LL"
192,"DDList_49","17",NA,NA,NA,NA,NA,"12.03","2 Wochen","2","12.15","6 Wochen","6","SS"
192,"DDList_55","18",NA,NA,NA,NA,NA,"26.11","2 Wochen","2","35.25","6 Wochen","6","LL"
192,"DDList_57","19",NA,NA,NA,NA,NA,"28.17","2 Wochen","2","28.45","6 Wochen","6","SS"
192,"DDList_22","20",NA,NA,NA,NA,NA,"22.75","Heute","0","28.44","4 Wochen","4","LL"
192,"DDList_30","21",NA,NA,NA,NA,NA,"9.88","Heute","0","12.35","4 Wochen","4","LL"
192,"DDList_48","22",NA,NA,NA,NA,NA,"22.42","2 Wochen","2","33.63","4 Wochen","4","LL"
