"ID_eprime","Eprime.LevelName","Sample","Cycle","inputlist","type","Threshold","balloonfile","explosionfile","maxpumps","maxpumps1","maxpumps2","balloonheight","balloonwidth","BalloonDisplay.RESP","pumps","BARTpermaccount","BARTtempaccount"
124,"PumpList_1","1","2","3",NA,NA,NA,NA,NA,NA,NA,"20%","20%","3","1",NA,NA
124,"PumpList_2","2","2","34",NA,NA,NA,NA,NA,NA,NA,"20.8%","20.8%","3","2",NA,NA
124,"PumpList_3","3","2","34",NA,NA,NA,NA,NA,NA,NA,"21.6%","21.6%","3","3",NA,NA
124,"PumpList_4","4","2","34",NA,NA,NA,NA,NA,NA,NA,"22.4%","22.4%","3","4",NA,NA
124,"PumpList_5","5","2","34",NA,NA,NA,NA,NA,NA,NA,"23.2%","23.2%","3","5",NA,NA
124,"PumpList_6","6","2","34",NA,NA,NA,NA,NA,NA,NA,"24%","24%","3","6",NA,NA
124,"PumpList_7","7","2","34",NA,NA,NA,NA,NA,NA,NA,"24.8%","24.8%","3","7",NA,NA
124,"PumpList_8","8","2","34",NA,NA,NA,NA,NA,NA,NA,"25.6%","25.6%","3","8",NA,NA
124,"PumpList_9","9","2","34",NA,NA,NA,NA,NA,NA,NA,"26.4%","26.4%","3","9",NA,NA
124,"PumpList_10","10","2","34",NA,NA,NA,NA,NA,NA,NA,"27.2%","27.2%","3","10",NA,NA
124,"PumpList_11","11","2","34",NA,NA,NA,NA,NA,NA,NA,"28%","28%","3","11",NA,NA
124,"PumpList_12","12","2","34",NA,NA,NA,NA,NA,NA,NA,"28.8%","28.8%","3","12",NA,NA
124,"PumpList_13","13","2","34",NA,NA,NA,NA,NA,NA,NA,"29.6%","29.6%","3","13",NA,NA
124,"PumpList_14","14","2","34",NA,NA,NA,NA,NA,NA,NA,"30.4%","30.4%","3","14",NA,NA
124,"PumpList_15","15","2","34",NA,NA,NA,NA,NA,NA,NA,"31.2%","31.2%","3","15",NA,NA
124,"PumpList_16","16","2","34",NA,NA,NA,NA,NA,NA,NA,"32%","32%","3","16",NA,NA
124,"BalloonList_4","1","1",NA,"exp","16","balloon_blue_burst.jpg","balloon_blue_burst.jpg","64",NA,NA,"32.8%","32.8%",NA,NA,"0.00","0"
124,"PumpList_1","1","3","3",NA,NA,NA,NA,NA,NA,NA,"20%","20%","3","1",NA,NA
124,"PumpList_2","2","3","34",NA,NA,NA,NA,NA,NA,NA,"20.8%","20.8%","3","2",NA,NA
124,"PumpList_3","3","3","34",NA,NA,NA,NA,NA,NA,NA,"21.6%","21.6%","3","3",NA,NA
124,"PumpList_4","4","3","34",NA,NA,NA,NA,NA,NA,NA,"22.4%","22.4%","3","4",NA,NA
124,"PumpList_5","5","3","34",NA,NA,NA,NA,NA,NA,NA,"23.2%","23.2%","3","5",NA,NA
124,"PumpList_6","6","3","34",NA,NA,NA,NA,NA,NA,NA,"24%","24%","3","6",NA,NA
124,"BalloonList_2","2","1",NA,"exp","6","balloon_red_burst.jpg","balloon_red_burst.jpg","128",NA,NA,"24.8%","24.8%",NA,NA,"0.00","0"
124,"PumpList_1","1","4","3",NA,NA,NA,NA,NA,NA,NA,"20%","20%","3","1",NA,NA
124,"PumpList_2","2","4","34",NA,NA,NA,NA,NA,NA,NA,"20.8%","20.8%","3","2",NA,NA
124,"PumpList_3","3","4","34",NA,NA,NA,NA,NA,NA,NA,"21.6%","21.6%","3","3",NA,NA
124,"PumpList_4","4","4","34",NA,NA,NA,NA,NA,NA,NA,"22.4%","22.4%","3","4",NA,NA
124,"PumpList_5","5","4","34",NA,NA,NA,NA,NA,NA,NA,"23.2%","23.2%","3","5",NA,NA
124,"PumpList_6","6","4","34",NA,NA,NA,NA,NA,NA,NA,"24%","24%","3","6",NA,NA
124,"PumpList_7","7","4","34",NA,NA,NA,NA,NA,NA,NA,"24.8%","24.8%","3","7",NA,NA
124,"PumpList_8","8","4","34",NA,NA,NA,NA,NA,NA,NA,"25.6%","25.6%","3","8",NA,NA
